OA11CD,Median16,Mean16,Min16,Max16,Median17,Mean17,Min17,Max17,LSOA11CD
E00004787,"18.5","34.4","4.62","141.4","33.32","40.58","5.58","130.4",E01000964
E00004704,"19.31111111","30.74444444","6.777777778","108.1777778","24.94","41.17","8.13","145.15",E01000947
E00004785,"41.1","52.675","7.6","150","42.5","57.725","7.8","200",E01000964
E00004702,"30.52","41.54","7.92","113.18","45.25","51.625","10.15","160.35",E01000948
E00004783,"44.94","49.84","9.36","126.46","39.54","50.34","11.06","127.74",E01000967
E00004703,"21.08571429","39.72857143","4.871428571","165.1428571","42.81428571","64.18571429","5.842857143","193.1428571",E01000948
E00004782,"37.9","46","13.125","104.5125","46.875","50.05","13.6125","102.0625",E01000963
E00004700,"15.43333333","24.23333333","7.816666667","84.53333333","20.46666667","26.15","7.033333333","84.01666667",E01000944
E00004781,"38.3125","47.9875","6.0875","137.725","63.15","63","12.45","149.5",E01000961
E00004701,"12.88571429","13.18571429","5.9","19.14285714","14.4625","14.825","9.15","27.0125",E01000946
E00004780,"23.54","36.6","6.88","78.94","38.58","38.5","7.22","77.68",E01000963
E00004708,"31.15","40.4","12.03333333","116.0333333","35.31666667","48.88333333","14.33333333","124.7833333",E01000948
E00004789,"29.75","43.2","7.05","200","31.05","50.65","9.2","200",E01000960
E00004788,"38.5","53.16","6.26","166.36","52.9","58.1","6.66","160",E01000960
E00004709,"28.95714286","43.31428571","12.51428571","129.9857143","43.64285714","55.64285714","8.114285714","161.4285714",E01000947
E00004659,"26.9","31.56153846","8.884615385","76.16923077","29.92","37.29","9.47","89.23",E01000938
E00004197,"22.875","30.225","9.5125","82.5125","17.07777778","28.93333333","8.788888889","86.68888889",E01000855
E00004196,"41.66666667","60.93333333","7.616666667","184","63.45","84.58333333","7.283333333","200",E01000850
E00004194,"23.66666667","37.61111111","11.15555556","99.54444444","22.08","38.43","14.07","104.12",E01000851
E00004193,"32.0875","37.825","11.2625","102.1375","33.3375","52.8","11.3625","149.45",E01000850
E00004190,"17.74","31.54","5.38","130","17.65","36.02","6.03","150",E01000855
E00004199,"22.98108108","29.25675676","12.32702703","57.63243243","27.70277778","36.57777778","11.88611111","80.75277778",E01000850
E00004198,"23.86","29.952","10.296","70.904","25.80416667","37.5625","13.1875","94.2375",E01000851
E00004846,"39.6","43.525","5.2","138","43.775","55.8","7.025","187.5",E01000968
E00004847,"40.1","48.35","9.6","171.8","44.01666667","59.28333333","9.1","192.5",E01000968
E00004844,"40","52.8","8.15","175","48.8","57.325","4.65","175",E01000968
E00004845,"18.34","33.42","4.32","128.56","23.24","41.54","4.16","150.54",E01000968
E00004842,"51.225","64.475","4.525","187.5","58.75","75.1","4.375","225",E01000968
E00004843,"26.66666667","49.33333333","5.366666667","184","27.43333333","51.9","4.866666667","200",E01000968
E00004840,"40","44.8","3.2","152","47.5","52.95","1.15","176",E01000973
E00004841,"28.92","43.8","6.6","140.8","58.2","67.36","6.82","200",E01000973
E00004848,"45.64","55.58","13.19","139.59","51.58","63.18","10.74","181.2",E01000969
E00004849,"53.54285714","66.34285714","13.28571429","176","55.41428571","75.72857143","11.14285714","200",E01000969
E00004376,"37.13333333","48.51666667","11.56666667","163.9833333","42.7","49.8","9.414285714","155.2857143",E01000889
E00004377,"36.86666667","48.1","10.4","143.9666667","44.83333333","54.53333333","10.4","166.6666667",E01000891
E00004374,"31.45","52.75","4.05","200","45","54.8","5.35","200",E01000891
E00004375,"27.54","40.82","3.78","132.68","48.28","53.58","4.68","152",E01000892
E00004372,"42.4","48.925","5.45","138.725","56.25","60.8","6.175","144.9",E01000892
E00004373,"28.75","46.75","9.3","150","38.86666667","61.5","10.6","200",E01000890
